Como você avaliaria sua qualidade de vida? ,Quão satisfeito(a) você está com a sua saúde? ,Em que medida você acha que sua dor (física) impede você de fazer o que você precisa? ,O quanto você precisa de algum tratamento médico para levar sua vida diária? ,O quanto você aproveita a vida? ,Em que medida você acha que a sua vida tem sentido? ,O quanto você consegue se concentrar? ,Quão seguro(a) você se sente em sua vida diária? ,"Quão saudável é o seu ambiente físico (clima, barulho, poluição, atrativos)? ",Você tem energia suficiente para seu dia-a- dia? ,Você é capaz de aceitar sua aparência física? ,Você tem dinheiro suficiente para satisfazer suas necessidades? ,Quão disponíveis para você estão as informações que precisa no seu dia-a-dia? ,Em que medida você tem oportunidades de atividade de lazer? ,Quão bem você é capaz de se locomover? ,Quão satisfeito(a) você está com o seu sono? ,Quão satisfeito(a) você está com sua capacidade de desempenhar as atividades do seu dia-a-dia? ,Quão satisfeito(a) você está com sua capacidade para o trabalho? ,Quão satisfeito(a) você está consigo mesmo? ,"Quão satisfeito(a) você está com suas relações pessoais (amigos, parentes, conhecidos, colegas)? ",Quão satisfeito(a) você está com sua vida sexual? ,Quão satisfeito(a) você está com o apoio que você recebe de seus amigos? ,Quão satisfeito(a) você está com as condições do local onde mora? ,Quão satisfeito(a) você está com o seu acesso aos serviços de saúde? ,Quão satisfeito(a) você está com o seu meio de transporte? ,"Com que frequência você tem sentimentos negativos tais como mau humor, desespero, ansiedade, depressão? "
4,4,1,1,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,4,3,4
3,3,2,3,3,4,3,2,2,2,2,3,4,3,4,2,2,3,2,2,4,3,2,4,3,3
4,3,1,2,3,4,2,3,4,3,4,2,3,4,3,4,3,4,4,5,5,3,4,3,3,3
4,2,1,5,2,3,3,4,4,3,4,3,5,4,2,3,4,4,3,4,2,4,5,2,3,4
3,3,1,2,2,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,2,2
3,3,2,2,2,2,1,2,3,2,1,1,3,3,4,2,1,1,1,4,5,4,3,3,4,5
4,4,1,1,4,4,3,3,3,4,4,5,5,5,4,3,3,3,4,4,4,4,4,3,4,2
2,1,2,4,5,4,2,2,1,2,3,5,4,4,1,2,3,3,4,2,3,2,2,4,5,5
5,4,1,1,5,5,3,5,5,5,4,5,5,5,5,4,4,5,4,5,3,5,5,5,5,4
4,4,1,2,4,5,4,4,4,5,4,3,4,4,5,4,4,4,5,4,4,4,5,4,4,2
4,4,2,1,4,4,4,5,4,3,4,4,5,4,5,3,5,4,4,4,5,4,4,5,3,1
4,3,2,4,5,5,5,4,3,3,4,2,4,5,5,1,4,4,3,5,4,5,4,5,5,4
4,3,1,1,4,5,4,4,4,3,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,3
4,3,4,3,3,3,2,3,2,2,1,4,3,3,3,3,3,3,3,2,3,3,5,5,4,4
